#Application	mono	Uncor-AC			WASL-AC			Uncor-RL			WASL-RL			Uncor-PI			WASL-PI
Xapian		1.0	1.1946648063278333	1.058268354354394	2.2812532772186054	1.0502348338090572	3.879632603997507	1.1193168069105888
Moses		1.0	1.8746455395920116	1.2252179632948814	2.382406577636163	1.1928524267091147	2.250100664487677	1.7520057320532243
Masstree		1.0	3.597107007803572	1.59701874903626		3.650399277704988	1.619392341598987	3.6947099029972406	1.15969591595723
Silo		1.0	1.6134077840817156	1.2572501381065049	1.8149408607668644	1.1199073782123112	1.9001378673189637	1.4117424135619983
DNN		1.0	1.5018227442502978	1.1265052585620907	2.034055882004983	1.0779686821315961	1.485124337407599	1.1345342355423917
GeoMean		1.0	1.811			1.24			2.36			1.196			2.465			1.295
		
#Mono -> 1 for all AC, RL, and PI, hence skipped 2 redundant columns
